Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
AARHUS,82,50.953,67,24.076,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,0,All ships,50774,
AARHUS,82,50.953,67,24.076,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,1,Passenger ships,43381,
AARHUS,82,50.953,67,24.076,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,2,Liquid bulk carriers,1316,
AARHUS,82,50.953,67,24.076,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,3,Container ships,623,
AARHUS,82,50.953,67,24.076,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,4,Dry breakbulk carriers,4459,
AARHUS,82,50.953,67,24.076,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,5,Dry bulk carriers,411,
AARHUS,82,50.953,67,24.076,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,6,Roll-on/ roll-off ships,555,
AARHUS,82,50.953,67,24.076,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,7,Liquefied petroleum gas carriers,29,
COPENHAGEN,206,4.97,227,0.266,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,0,All ships,50774,
COPENHAGEN,206,4.97,227,0.266,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,1,Passenger ships,43381,
COPENHAGEN,206,4.97,227,0.266,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,2,Liquid bulk carriers,1316,
COPENHAGEN,206,4.97,227,0.266,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,3,Container ships,623,
COPENHAGEN,206,4.97,227,0.266,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,4,Dry breakbulk carriers,4459,
COPENHAGEN,206,4.97,227,0.266,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,5,Dry bulk carriers,411,
COPENHAGEN,206,4.97,227,0.266,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,6,Roll-on/ roll-off ships,555,
COPENHAGEN,206,4.97,227,0.266,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,7,Liquefied petroleum gas carriers,29,
FREDERICIA,176,12.83,183,4.634,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,0,All ships,50774,
FREDERICIA,176,12.83,183,4.634,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,1,Passenger ships,43381,
FREDERICIA,176,12.83,183,4.634,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,2,Liquid bulk carriers,1316,
FREDERICIA,176,12.83,183,4.634,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,3,Container ships,623,
FREDERICIA,176,12.83,183,4.634,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,4,Dry breakbulk carriers,4459,
FREDERICIA,176,12.83,183,4.634,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,5,Dry bulk carriers,411,
FREDERICIA,176,12.83,183,4.634,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,6,Roll-on/ roll-off ships,555,
FREDERICIA,176,12.83,183,4.634,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,7,Liquefied petroleum gas carriers,29,
KRISTIANSAND,223,1.764,221,0.831,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,0,All ships,50774,
KRISTIANSAND,223,1.764,221,0.831,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,1,Passenger ships,43381,
KRISTIANSAND,223,1.764,221,0.831,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,2,Liquid bulk carriers,1316,
KRISTIANSAND,223,1.764,221,0.831,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,3,Container ships,623,
KRISTIANSAND,223,1.764,221,0.831,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,4,Dry breakbulk carriers,4459,
KRISTIANSAND,223,1.764,221,0.831,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,5,Dry bulk carriers,411,
KRISTIANSAND,223,1.764,221,0.831,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,6,Roll-on/ roll-off ships,555,
KRISTIANSAND,223,1.764,221,0.831,Denmark,2021S01,S1   2021,2021,S,Semi-annual,208,7,Liquefied petroleum gas carriers,29,
ABIDJAN,360,-216.138,359,-93.807,Ivory Coast,,,,,,,,,,
ACAJUTLA,271,-12.182,269,-5.39,El Salvador's,,,,,,,,,,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,0,All ships,29514,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,1,Passenger ships,15600,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,2,Liquid bulk carriers,1528,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,3,Container ships,1836,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,4,Dry breakbulk carriers,960,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,5,Dry bulk carriers,7410,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,6,Roll-on/ roll-off ships,1413,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,7,Liquefied petroleum gas carriers,213,
ADELAIDE,264,-9.863,257,-3.425,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,8,Liquefied natural gas carriers,554,
