Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
KING ABDULLAH PORT,1,217.914,Saudi Arabia,KING ABDULLAH PORT,1,93.387,Saudi Arabia,,,,,,,,,,
JEDDAH,8,161.493,Saudi Arabia,JEDDAH,8,73.527,Saudi Arabia,,,,,,,,,,
DAMMAM,14,143.504,Saudi Arabia,DAMMAM,14,62.454,Saudi Arabia,,,,,,,,,,
JUBAIL,249,-3.792,Saudi Arabia,KAWASAKI,249,-1.752,Japan,,,,,,,,,,
SALALAH,2,197.675,Oman,SALALAH,2,87.372,Oman,,,,,,,,,,
SOHAR,47,89.717,Oman,SOHAR,47,35.096,Oman,,,,,,,,,,
HAMAD PORT,3,194.823,Qatatr,YANGSHAN,3,83.522,China,,,,,,,,,,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,0,All ships,132442,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,1,Passenger ships,16615,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,2,Liquid bulk carriers,22802,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,3,Container ships,36398,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,4,Dry breakbulk carriers,15301,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,5,Dry bulk carriers,32902,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,6,Roll-on/ roll-off ships,3175,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,7,Liquefied petroleum gas carriers,4584,
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr,2021S01,S1   2021,2021,S,Semi-annual,156,8,Liquefied natural gas carriers,665,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,0,All ships,132442,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,1,Passenger ships,16615,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,2,Liquid bulk carriers,22802,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,3,Container ships,36398,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,4,Dry breakbulk carriers,15301,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,5,Dry bulk carriers,32902,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,6,Roll-on/ roll-off ships,3175,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,7,Liquefied petroleum gas carriers,4584,
NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,8,Liquefied natural gas carriers,665,
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,0,All ships,132442,
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,1,Passenger ships,16615,
