Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name,Statistic Approach Rank,IndeX Value,Economy Label
KING ABDULLAH PORT,1,217.914,Saudi Arabia,KING ABDULLAH PORT,1,93.387,Saudi Arabia
SALALAH,2,197.675,Oman,SALALAH,2,87.372,Oman
HAMAD PORT,3,194.823,Qatatr,YANGSHAN,3,83.522,China
YANGSHAN,4,183.455,China,HAMAD PORT,4,82.146,Qatatr
KHALIFA PORT,5,182.649,Abu Dhabi,KHALIFA PORT,5,81.052,Abu Dhabi
TANGER-MEDITERRANEAN,6,178.096,Morocco,TANGER-MEDITERRANEAN,6,80.411,Morocco
NINGBO,7,170.696,China,NINGBO,7,76.077,China
JEDDAH,8,161.493,Saudi Arabia,JEDDAH,8,73.527,Saudi Arabia
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China
YOKOHAMA,10,159.234,Japan,ALGECIRAS,10,70.323,Spain
ALGECIRAS,11,155.851,Spain,CAI MEP,11,67.529,Vietnam
CARTAGENA (COLOMBIA),12,152.95,Colombia,YOKOHAMA,12,66.451,Japan
CAI MEP,13,148.433,Vietnam,PORT SAID,13,63.39,Egypt
DAMMAM,14,143.504,Saudi Arabia,DAMMAM,14,62.454,Saudi Arabia
PORT SAID,15,141.336,Egypt,CARTAGENA (COLOMBIA),15,61.901,Colombia
SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia
CHIWAN,17,132.828,China,SHEKOU,17,58.312,China
TANJUNG PELEPAS,18,131.424,Malasyia,HALIFAX,18,56.91,Canada
DJIBOUTI,19,129.354,the Republic oF Djibouti,BARCELONA,19,55.311,Spain
BUENAVENTURA,20,124.415,Colombia,CHIWAN,20,55.013,China
KAOHSIUNG,21,123.452,Taiwan,KAOHSIUNG,21,54.588,Taiwan
BARCELONA,22,119.332,Spain,COLOMBO,22,54.09,Sri Lanka
PORT OF VIRGINIA,23,118.295,USA,BUENAVENTURA,23,53.033,Colombia
COLOMBO,24,117.493,Sri Lanka,DJIBOUTI,24,52.476, the Republic oF Djibouti
BUSAN,25,114.739,South Korea,BUSAN,25,52.307,South Korea
PIPAVAV,26,109.823,India,TIANJIN,26,51.441,China
TIANJIN,27,109.448,China,PORT OF VIRGINIA,27,50.444,USA
