,country,date,new_cases,cumulative_cases
0,Afghanistan,2020-01-31,0,0
1,Afghanistan,2020-07-31,36628,2080134
2,Afghanistan,2021-01-31,18395,8092870
3,Afghanistan,2021-07-31,92131,14105445
4,Afghanistan,2022-01-31,14986,28667488
5,Afghanistan,2022-07-31,23440,32258375
6,Afghanistan,2023-01-31,14302,13161569
7,Albania,2020-01-31,0,0
8,Albania,2020-07-31,5197,212015
9,Albania,2021-01-31,72054,5525986
10,Albania,2021-07-31,55785,22250341
11,Albania,2022-01-31,124985,33829124
12,Albania,2022-07-31,52341,50131232
13,Albania,2023-01-31,20902,22165980
14,Algeria,2020-01-31,0,0
15,Algeria,2020-07-31,29831,1267447
16,Algeria,2021-01-31,77291,12419322
17,Algeria,2021-07-31,63067,22847966
18,Algeria,2022-01-31,80585,38109355
19,Algeria,2022-07-31,16600,47985844
20,Algeria,2023-01-31,3311,18353204
21,American Samoa,2020-01-31,0,0
22,American Samoa,2020-07-31,0,0
23,American Samoa,2021-01-31,0,0
24,American Samoa,2021-07-31,0,0
25,American Samoa,2022-01-31,18,1089
26,American Samoa,2022-07-31,7748,797575
27,American Samoa,2023-01-31,484,554182
28,Andorra,2020-01-31,0,0
29,Andorra,2020-07-31,922,97770
30,Andorra,2021-01-31,8963,855199
31,Andorra,2021-07-31,4793,2297949
32,Andorra,2022-01-31,20878,3419806
33,Andorra,2022-07-31,9952,7470138
34,Andorra,2023-01-31,767,3129639
35,Angola,2020-01-31,0,0
36,Angola,2020-07-31,1109,26019
37,Angola,2021-01-31,18673,1878140
38,Angola,2021-07-31,22864,5257852
39,Angola,2022-01-31,55430,11742889
40,Angola,2022-07-31,4399,18065186
41,Angola,2023-01-31,656,7004086
42,Anguilla,2020-01-31,0,0
43,Anguilla,2020-07-31,3,373
44,Anguilla,2021-01-31,14,1145
45,Anguilla,2021-07-31,97,12218
46,Anguilla,2022-01-31,2210,178838
47,Anguilla,2022-07-31,1256,533742
48,Anguilla,2023-01-31,286,257124
49,Antigua and Barbuda,2020-01-31,0,0
50,Antigua and Barbuda,2020-07-31,91,4588
51,Antigua and Barbuda,2021-01-31,127,23615
52,Antigua and Barbuda,2021-07-31,1085,193611
53,Antigua and Barbuda,2022-01-31,5255,650988
54,Antigua and Barbuda,2022-07-31,2215,1424805
55,Antigua and Barbuda,2023-01-31,325,608559
56,Argentina,2020-01-31,0,0
57,Argentina,2020-07-31,222178,6327409
58,Argentina,2021-01-31,1771374,207344337
59,Argentina,2021-07-31,3017693,598212271
60,Argentina,2022-01-31,3441715,1040158047
61,Argentina,2022-07-31,1107347,1650382504
62,Argentina,2023-01-31,151048,657240020
63,Armenia,2020-01-31,0,0
64,Armenia,2020-07-31,38550,1739309
65,Armenia,2021-01-31,128476,17889664
66,Armenia,2021-07-31,63084,37115352
67,Armenia,2022-01-31,137685,54912481
68,Armenia,2022-07-31,57570,76020151
69,Armenia,2023-01-31,18420,29607811
70,Aruba,2020-01-31,0,0
71,Aruba,2020-07-31,119,12391
72,Aruba,2021-01-31,6739,738183
73,Aruba,2021-07-31,4726,1785902
74,Aruba,2022-01-31,21134,3223091
75,Aruba,2022-07-31,9362,6565920
76,Aruba,2023-01-31,2065,2918980
77,Australia,2020-01-31,9,35
78,Australia,2020-07-31,16294,1001152
79,Australia,2021-01-31,12503,4930744
80,Australia,2021-07-31,5103,5419152
81,Australia,2022-01-31,2118262,59527773
82,Australia,2022-07-31,7174473,1033092227
83,Australia,2023-01-31,864668,678548427
84,Austria,2020-01-31,0,0
85,Austria,2020-07-31,20873,2088138
86,Austria,2021-01-31,387983,31638345
87,Austria,2021-07-31,243581,103375703
88,Austria,2022-01-31,1179941,178395120
89,Austria,2022-07-31,2937661,690303691
90,Austria,2023-01-31,440246,337278147
91,Azerbaijan,2020-01-31,0,0
92,Azerbaijan,2020-07-31,31221,1196731
93,Azerbaijan,2021-01-31,198714,18298425
94,Azerbaijan,2021-07-31,113281,53514678
95,Azerbaijan,2022-01-31,313068,96013118
96,Azerbaijan,2022-07-31,142120,141892166
97,Azerbaijan,2023-01-31,23533,55274670
98,Bahamas,2020-01-31,0,0
99,Bahamas,2020-07-31,484,13070
100,Bahamas,2021-01-31,7699,998466
101,Bahamas,2021-07-31,6494,1925270
102,Bahamas,2022-01-31,17835,4100710
103,Bahamas,2022-07-31,4204,6196294
